Pavarde             Vardas              Galutinis (med.)
Pavarde1053         Vardas1053          3.8            
Pavarde1054         Vardas1054          4.4            
Pavarde1055         Vardas1055          6.2            
Pavarde1056         Vardas1056          4              
Pavarde1057         Vardas1057          4.4            
Pavarde1058         Vardas1058          7.4            
Pavarde1059         Vardas1059          5.6            
Pavarde106          Vardas106           6.2            
Pavarde1060         Vardas1060          5.6            
Pavarde1061         Vardas1061          5.2            
Pavarde1062         Vardas1062          3.2            
Pavarde1063         Vardas1063          4.2            
Pavarde1064         Vardas1064          3.6            
Pavarde1065         Vardas1065          3.6            
Pavarde1066         Vardas1066          7              
Pavarde1067         Vardas1067          8.8            
Pavarde1068         Vardas1068          6.6            
Pavarde1069         Vardas1069          7.4            
Pavarde107          Vardas107           4              
Pavarde1070         Vardas1070          7              
Pavarde1071         Vardas1071          4.4            
Pavarde1072         Vardas1072          4              
Pavarde1073         Vardas1073          8.4            
Pavarde1074         Vardas1074          3.2            
Pavarde1075         Vardas1075          6.6            
Pavarde1076         Vardas1076          2.2            
Pavarde1077         Vardas1077          2.4            
Pavarde1078         Vardas1078          6.2            
Pavarde1079         Vardas1079          4.4            
Pavarde108          Vardas108           6.2            
Pavarde1080         Vardas1080          5.6            
Pavarde1081         Vardas1081          2.6            
Pavarde1082         Vardas1082          4.2            
Pavarde1083         Vardas1083          5.8            
Pavarde1084         Vardas1084          5.8            
Pavarde1085         Vardas1085          6.8            
Pavarde1086         Vardas1086          6.2            
Pavarde1087         Vardas1087          5.8            
Pavarde1088         Vardas1088          2.6            
Pavarde1089         Vardas1089          2.2            
Pavarde109          Vardas109           5.8            
Pavarde1090         Vardas1090          3.2            
Pavarde1091         Vardas1091          3.8            
Pavarde1092         Vardas1092          3.8            
Pavarde1093         Vardas1093          5.4            
Pavarde1094         Vardas1094          3.6            
Pavarde1095         Vardas1095          7.6            
Pavarde1096         Vardas1096          5.2            
Pavarde1097         Vardas1097          6.4            
Pavarde1098         Vardas1098          6.6            
Pavarde1099         Vardas1099          5.4            
Pavarde11           Vardas11            3.4            
Pavarde110          Vardas110           6.6            
Pavarde1100         Vardas1100          6.4            
Pavarde1101         Vardas1101          4              
Pavarde1102         Vardas1102          8.8            
Pavarde1103         Vardas1103          8              
Pavarde1104         Vardas1104          8.4            
Pavarde1105         Vardas1105          7              
Pavarde1106         Vardas1106          6.8            
Pavarde1107         Vardas1107          6.4            
Pavarde1108         Vardas1108          5.6            
Pavarde1109         Vardas1109          8.8            
Pavarde111          Vardas111           2.6            
Pavarde1110         Vardas1110          3.2            
Pavarde1111         Vardas1111          6.4            
Pavarde1112         Vardas1112          4.2            
Pavarde1113         Vardas1113          3.6            
Pavarde1114         Vardas1114          8.2            
Pavarde1115         Vardas1115          7.6            
Pavarde1116         Vardas1116          5.6            
Pavarde1117         Vardas1117          5.2            
Pavarde1118         Vardas1118          2.8            
Pavarde1119         Vardas1119          3.4            
Pavarde112          Vardas112           8.2            
Pavarde1120         Vardas1120          3.2            
Pavarde1121         Vardas1121          6.6            
Pavarde1122         Vardas1122          2.6            
Pavarde1123         Vardas1123          5.6            
Pavarde1124         Vardas1124          6              
Pavarde1125         Vardas1125          6.8            
Pavarde1126         Vardas1126          8              
Pavarde1127         Vardas1127          4.4            
Pavarde1128         Vardas1128          1.8            
Pavarde1129         Vardas1129          3.6            
Pavarde113          Vardas113           8              
Pavarde1130         Vardas1130          4.6            
Pavarde1131         Vardas1131          3.8            
Pavarde1132         Vardas1132          3.6            
Pavarde1133         Vardas1133          7.4            
Pavarde1134         Vardas1134          7.6            
Pavarde1135         Vardas1135          8              
Pavarde1136         Vardas1136          6.4            
Pavarde1137         Vardas1137          2.6            
Pavarde1138         Vardas1138          8.6            
Pavarde1139         Vardas1139          4.2            
Pavarde114          Vardas114           4.8            
Pavarde1140         Vardas1140          8              
Pavarde1141         Vardas1141          7.2            
Pavarde1142         Vardas1142          5.4            
Pavarde1143         Vardas1143          6.8            
Pavarde1144         Vardas1144          7.2            
Pavarde1145         Vardas1145          7.8            
Pavarde1146         Vardas1146          3.6            
Pavarde1147         Vardas1147          6.4            
Pavarde1148         Vardas1148          8              
Pavarde1149         Vardas1149          2.6            
Pavarde115          Vardas115           7.4            
Pavarde1150         Vardas1150          4.6            
Pavarde1151         Vardas1151          7.6            
Pavarde1152         Vardas1152          3.8            
Pavarde1153         Vardas1153          6.6            
Pavarde1154         Vardas1154          4.4            
Pavarde1155         Vardas1155          5.4            
Pavarde1156         Vardas1156          7.8            
Pavarde1157         Vardas1157          2.6            
Pavarde1158         Vardas1158          5.6            
Pavarde1159         Vardas1159          3.8            
Pavarde116          Vardas116           8              
Pavarde1160         Vardas1160          4.2            
Pavarde1161         Vardas1161          5              
Pavarde1162         Vardas1162          7.6            
Pavarde1163         Vardas1163          8.4            
Pavarde1164         Vardas1164          3.2            
Pavarde1165         Vardas1165          5.2            
Pavarde1166         Vardas1166          5.6            
Pavarde1167         Vardas1167          2.6            
Pavarde1168         Vardas1168          6.4            
Pavarde1169         Vardas1169          5.8            
Pavarde117          Vardas117           5.4            
Pavarde1170         Vardas1170          5              
Pavarde1171         Vardas1171          4.8            
Pavarde1172         Vardas1172          8              
Pavarde1173         Vardas1173          4.8            
Pavarde1174         Vardas1174          7.8            
Pavarde1175         Vardas1175          5              
Pavarde1176         Vardas1176          4.2            
Pavarde1177         Vardas1177          6.4            
Pavarde1178         Vardas1178          5.8            
Pavarde1179         Vardas1179          3.4            
Pavarde118          Vardas118           8              
Pavarde1180         Vardas1180          5.6            
Pavarde1181         Vardas1181          4              
Pavarde1182         Vardas1182          6.4            
Pavarde1183         Vardas1183          2.6            
Pavarde1184         Vardas1184          3.2            
Pavarde1185         Vardas1185          5              
Pavarde1186         Vardas1186          5.6            
Pavarde1187         Vardas1187          5              
Pavarde1188         Vardas1188          6.4            
Pavarde1189         Vardas1189          8              
Pavarde119          Vardas119           4              
Pavarde1190         Vardas1190          5.8            
Pavarde1191         Vardas1191          7.4            
Pavarde1192         Vardas1192          8.2            
Pavarde1193         Vardas1193          4.6            
Pavarde1194         Vardas1194          4.4            
Pavarde1195         Vardas1195          4              
Pavarde1196         Vardas1196          3              
Pavarde1197         Vardas1197          2.2            
Pavarde1198         Vardas1198          3.4            
Pavarde1199         Vardas1199          7              
Pavarde12           Vardas12            8.4            
Pavarde120          Vardas120           6.2            
Pavarde1200         Vardas1200          6.6            
Pavarde1201         Vardas1201          4.8            
Pavarde1202         Vardas1202          6.6            
Pavarde1203         Vardas1203          2.8            
Pavarde1204         Vardas1204          4.4            
Pavarde1205         Vardas1205          3.4            
Pavarde1206         Vardas1206          3              
Pavarde1207         Vardas1207          5              
Pavarde1208         Vardas1208          7.8            
Pavarde1209         Vardas1209          4.6            
Pavarde121          Vardas121           3.4            
Pavarde1210         Vardas1210          7.8            
Pavarde1211         Vardas1211          5.2            
Pavarde1212         Vardas1212          5.6            
Pavarde1213         Vardas1213          2.2            
Pavarde1214         Vardas1214          4.2            
Pavarde1215         Vardas1215          3              
Pavarde1216         Vardas1216          3              
Pavarde1217         Vardas1217          3.2            
Pavarde1218         Vardas1218          7.2            
Pavarde1219         Vardas1219          3              
Pavarde122          Vardas122           7.8            
Pavarde1220         Vardas1220          3.4            
Pavarde1221         Vardas1221          2.4            
Pavarde1222         Vardas1222          8.2            
Pavarde1223         Vardas1223          4.4            
Pavarde1224         Vardas1224          6.6            
Pavarde1225         Vardas1225          7.2            
Pavarde1226         Vardas1226          7.4            
Pavarde1227         Vardas1227          2.2            
Pavarde1228         Vardas1228          6.2            
Pavarde1229         Vardas1229          5.6            
Pavarde123          Vardas123           3.6            
Pavarde1230         Vardas1230          3.2            
Pavarde1231         Vardas1231          6.4            
Pavarde1232         Vardas1232          3              
Pavarde1233         Vardas1233          5.6            
Pavarde1234         Vardas1234          7.8            
Pavarde1235         Vardas1235          3.4            
Pavarde1236         Vardas1236          5              
Pavarde1237         Vardas1237          6.2            
Pavarde1238         Vardas1238          5.2            
Pavarde1239         Vardas1239          8              
Pavarde124          Vardas124           5.8            
Pavarde1240         Vardas1240          4.4            
Pavarde1241         Vardas1241          9.2            
Pavarde1242         Vardas1242          4.8            
Pavarde1243         Vardas1243          5              
Pavarde1244         Vardas1244          7.6            
Pavarde1245         Vardas1245          3.2            
Pavarde1246         Vardas1246          6.6            
Pavarde1247         Vardas1247          3.2            
Pavarde1248         Vardas1248          6.8            
Pavarde1249         Vardas1249          2.2            
Pavarde125          Vardas125           4.2            
Pavarde1250         Vardas1250          2.2            
Pavarde1251         Vardas1251          4.8            
Pavarde1252         Vardas1252          4.8            
Pavarde1253         Vardas1253          3.6            
Pavarde1254         Vardas1254          4.4            
Pavarde1255         Vardas1255          2.6            
Pavarde1256         Vardas1256          7.2            
Pavarde1257         Vardas1257          3.6            
Pavarde1258         Vardas1258          5.2            
Pavarde1259         Vardas1259          6.2            
Pavarde126          Vardas126           3.4            
Pavarde1260         Vardas1260          5.8            
Pavarde1261         Vardas1261          4              
Pavarde1262         Vardas1262          2.4            
Pavarde1263         Vardas1263          4.2            
Pavarde1264         Vardas1264          6.4            
Pavarde1265         Vardas1265          6              
Pavarde1266         Vardas1266          3.2            
Pavarde1267         Vardas1267          4.2            
Pavarde1268         Vardas1268          2.6            
Pavarde1269         Vardas1269          6              
Pavarde127          Vardas127           6.4            
Pavarde1270         Vardas1270          4.4            
Pavarde1271         Vardas1271          4.8            
Pavarde1272         Vardas1272          5.2            
Pavarde1273         Vardas1273          7.2            
Pavarde1274         Vardas1274          9.2            
Pavarde1275         Vardas1275          6.6            
Pavarde1276         Vardas1276          3              
Pavarde1277         Vardas1277          7              
Pavarde1278         Vardas1278          6              
Pavarde1279         Vardas1279          5.6            
Pavarde128          Vardas128           7.4            
Pavarde1280         Vardas1280          4.6            
Pavarde1281         Vardas1281          3              
Pavarde1282         Vardas1282          7.4            
Pavarde1283         Vardas1283          6              
Pavarde1284         Vardas1284          6.4            
Pavarde1285         Vardas1285          7.2            
Pavarde1286         Vardas1286          7.8            
Pavarde1287         Vardas1287          4.8            
Pavarde1288         Vardas1288          3.2            
Pavarde1289         Vardas1289          4.4            
Pavarde129          Vardas129           4.4            
Pavarde1290         Vardas1290          5              
Pavarde1291         Vardas1291          5              
Pavarde1292         Vardas1292          6.4            
Pavarde1293         Vardas1293          3.4            
Pavarde1294         Vardas1294          7.6            
Pavarde1295         Vardas1295          4.2            
Pavarde1296         Vardas1296          3.6            
Pavarde1297         Vardas1297          3              
Pavarde1298         Vardas1298          3.8            
Pavarde1299         Vardas1299          3.4            
Pavarde13           Vardas13            5.4            
Pavarde130          Vardas130           6.8            
Pavarde1300         Vardas1300          3.4            
Pavarde1301         Vardas1301          2.4            
Pavarde1302         Vardas1302          6.4            
Pavarde1303         Vardas1303          5.6            
Pavarde1304         Vardas1304          4.6            
Pavarde1305         Vardas1305          5.4            
Pavarde1306         Vardas1306          7.4            
Pavarde1307         Vardas1307          4.8            
Pavarde1308         Vardas1308          4.2            
Pavarde1309         Vardas1309          6.8            
Pavarde131          Vardas131           3.4            
Pavarde1310         Vardas1310          7.4            
Pavarde1311         Vardas1311          4.6            
Pavarde1312         Vardas1312          2.8            
Pavarde1313         Vardas1313          3.8            
Pavarde1314         Vardas1314          8              
Pavarde1315         Vardas1315          8.8            
Pavarde1316         Vardas1316          3.6            
Pavarde1317         Vardas1317          8              
Pavarde1318         Vardas1318          8              
Pavarde1319         Vardas1319          5.2            
Pavarde132          Vardas132           2.2            
Pavarde1320         Vardas1320          8              
Pavarde1321         Vardas1321          2.8            
Pavarde1322         Vardas1322          6.8            
Pavarde1323         Vardas1323          8.2            
Pavarde1324         Vardas1324          7.2            
Pavarde1325         Vardas1325          7.4            
Pavarde1326         Vardas1326          2.4            
Pavarde1327         Vardas1327          3              
Pavarde1328         Vardas1328          5.6            
Pavarde1329         Vardas1329          8.4            
Pavarde133          Vardas133           6.4            
Pavarde1330         Vardas1330          3.6            
Pavarde1331         Vardas1331          6.2            
Pavarde1332         Vardas1332          2.2            
Pavarde1333         Vardas1333          6.8            
Pavarde1334         Vardas1334          3.4            
Pavarde1335         Vardas1335          7              
Pavarde1336         Vardas1336          6.4            
Pavarde1337         Vardas1337          5.6            
Pavarde1338         Vardas1338          6.8            
Pavarde1339         Vardas1339          3              
Pavarde134          Vardas134           4              
Pavarde1340         Vardas1340          4              
Pavarde1341         Vardas1341          5.2            
Pavarde1342         Vardas1342          5              
Pavarde1343         Vardas1343          7.4            
Pavarde1344         Vardas1344          6.6            
Pavarde1345         Vardas1345          6              
Pavarde1346         Vardas1346          4.2            
Pavarde1347         Vardas1347          5.8            
Pavarde1348         Vardas1348          4.8            
Pavarde1349         Vardas1349          7.8            
Pavarde135          Vardas135           7.8            
Pavarde1350         Vardas1350          3              
Pavarde1351         Vardas1351          6.2            
Pavarde1352         Vardas1352          5.8            
Pavarde1353         Vardas1353          3.2            
Pavarde1354         Vardas1354          6.6            
Pavarde1355         Vardas1355          3              
Pavarde1356         Vardas1356          3.4            
Pavarde1357         Vardas1357          7              
Pavarde1358         Vardas1358          5.2            
Pavarde1359         Vardas1359          4.2            
Pavarde136          Vardas136           7.2            
Pavarde1360         Vardas1360          3              
Pavarde1361         Vardas1361          8.2            
Pavarde1362         Vardas1362          6.6            
Pavarde1363         Vardas1363          5.2            
Pavarde1364         Vardas1364          2.6            
Pavarde1365         Vardas1365          7              
Pavarde1366         Vardas1366          4              
Pavarde1367         Vardas1367          2.6            
Pavarde1368         Vardas1368          3              
Pavarde1369         Vardas1369          5.6            
Pavarde137          Vardas137           6.2            
Pavarde1370         Vardas1370          5.8            
Pavarde1371         Vardas1371          7.2            
Pavarde1372         Vardas1372          4.6            
Pavarde1373         Vardas1373          7.4            
Pavarde1374         Vardas1374          7              
Pavarde1375         Vardas1375          8.2            
Pavarde1376         Vardas1376          4.6            
Pavarde1377         Vardas1377          3.6            
Pavarde1378         Vardas1378          4.4            
Pavarde1379         Vardas1379          4.8            
Pavarde138          Vardas138           3.4            
Pavarde1380         Vardas1380          3.2            
Pavarde1381         Vardas1381          4.6            
Pavarde1382         Vardas1382          3.6            
Pavarde1383         Vardas1383          5.2            
Pavarde1384         Vardas1384          3.8            
Pavarde1385         Vardas1385          7.4            
Pavarde1386         Vardas1386          8              
Pavarde1387         Vardas1387          7.4            
Pavarde1388         Vardas1388          4.2            
Pavarde1389         Vardas1389          3.6            
Pavarde139          Vardas139           3.8            
Pavarde1390         Vardas1390          5.6            
Pavarde1391         Vardas1391          7.8            
Pavarde1392         Vardas1392          4.4            
Pavarde1393         Vardas1393          3.2            
Pavarde1394         Vardas1394          2.6            
Pavarde1395         Vardas1395          4.8            
Pavarde1396         Vardas1396          3.4            
Pavarde1397         Vardas1397          3.2            
Pavarde1398         Vardas1398          3              
Pavarde1399         Vardas1399          4.8            
Pavarde14           Vardas14            2.6            
Pavarde140          Vardas140           2.6            
Pavarde1400         Vardas1400          4.2            
Pavarde1401         Vardas1401          2.6            
Pavarde1402         Vardas1402          3.2            
Pavarde1403         Vardas1403          8.4            
Pavarde1404         Vardas1404          5.4            
Pavarde1405         Vardas1405          6.8            
Pavarde1406         Vardas1406          7.8            
Pavarde1407         Vardas1407          2.2            
Pavarde1408         Vardas1408          4.6            
Pavarde1409         Vardas1409          5.4            
Pavarde141          Vardas141           2.8            
Pavarde1410         Vardas1410          6.6            
Pavarde1411         Vardas1411          5.4            
Pavarde1412         Vardas1412          5.6            
Pavarde1413         Vardas1413          8.8            
Pavarde1414         Vardas1414          6.6            
Pavarde1415         Vardas1415          5              
Pavarde1416         Vardas1416          7.2            
Pavarde1417         Vardas1417          6              
Pavarde1418         Vardas1418          3.6            
Pavarde1419         Vardas1419          4.2            
Pavarde142          Vardas142           3              
Pavarde1420         Vardas1420          6.2            
Pavarde1421         Vardas1421          5.8            
Pavarde1422         Vardas1422          6.4            
Pavarde1423         Vardas1423          5.8            
Pavarde1424         Vardas1424          3.4            
Pavarde1425         Vardas1425          3.4            
Pavarde1426         Vardas1426          7.2            
Pavarde1427         Vardas1427          6.4            
Pavarde1428         Vardas1428          8              
Pavarde1429         Vardas1429          6              
Pavarde143          Vardas143           7.8            
Pavarde1430         Vardas1430          4.8            
Pavarde1431         Vardas1431          7.4            
Pavarde1432         Vardas1432          7              
Pavarde1433         Vardas1433          6.6            
Pavarde1434         Vardas1434          8.8            
Pavarde1435         Vardas1435          3.8            
Pavarde1436         Vardas1436          6.6            
Pavarde1437         Vardas1437          8.2            
Pavarde1438         Vardas1438          4.4            
Pavarde1439         Vardas1439          3.8            
Pavarde144          Vardas144           3.6            
Pavarde1440         Vardas1440          5.8            
Pavarde1441         Vardas1441          7.8            
Pavarde1442         Vardas1442          3.6            
Pavarde1443         Vardas1443          7.6            
Pavarde1444         Vardas1444          3.8            
Pavarde1445         Vardas1445          5.8            
Pavarde1446         Vardas1446          7.2            
Pavarde1447         Vardas1447          2.8            
Pavarde1448         Vardas1448          7.6            
Pavarde1449         Vardas1449          4              
Pavarde145          Vardas145           5.8            
Pavarde1450         Vardas1450          6              
Pavarde1451         Vardas1451          6.6            
Pavarde1452         Vardas1452          6.4            
Pavarde1453         Vardas1453          3.6            
Pavarde1454         Vardas1454          7.8            
Pavarde1455         Vardas1455          3.8            
Pavarde1456         Vardas1456          2.6            
Pavarde1457         Vardas1457          7.8            
Pavarde1458         Vardas1458          6.6            
Pavarde1459         Vardas1459          5.2            
Pavarde146          Vardas146           5.2            
Pavarde1460         Vardas1460          6.4            
Pavarde1461         Vardas1461          5.8            
Pavarde1462         Vardas1462          6.2            
Pavarde1463         Vardas1463          7.6            
Pavarde1464         Vardas1464          7.4            
Pavarde1465         Vardas1465          4.4            
Pavarde1466         Vardas1466          7.2            
Pavarde1467         Vardas1467          4              
Pavarde1468         Vardas1468          6.2            
Pavarde1469         Vardas1469          3.4            
Pavarde147          Vardas147           2.2            
Pavarde1470         Vardas1470          3.2            
Pavarde1471         Vardas1471          7.2            
Pavarde1472         Vardas1472          4.8            
Pavarde1473         Vardas1473          5.4            
Pavarde1474         Vardas1474          3.6            
Pavarde1475         Vardas1475          3.6            
Pavarde1476         Vardas1476          7.2            
Pavarde1477         Vardas1477          4.8            
Pavarde1478         Vardas1478          5.2            
Pavarde1479         Vardas1479          7.8            
Pavarde148          Vardas148           5.6            
Pavarde1480         Vardas1480          7.4            
Pavarde1481         Vardas1481          3.8            
Pavarde1482         Vardas1482          3.2            
Pavarde1483         Vardas1483          6.4            
Pavarde1484         Vardas1484          7              
Pavarde1485         Vardas1485          3.8            
Pavarde1486         Vardas1486          3.6            
Pavarde1487         Vardas1487          3.4            
Pavarde1488         Vardas1488          4.2            
Pavarde1489         Vardas1489          5              
Pavarde149          Vardas149           4              
Pavarde1490         Vardas1490          5.8            
Pavarde1491         Vardas1491          8.4            
Pavarde1492         Vardas1492          3.4            
Pavarde1493         Vardas1493          6.2            
Pavarde1494         Vardas1494          7.4            
Pavarde1495         Vardas1495          6.6            
Pavarde1496         Vardas1496          8              
Pavarde1497         Vardas1497          6.8            
Pavarde1498         Vardas1498          6.8            
Pavarde1499         Vardas1499          6.6            
Pavarde15           Vardas15            6.4            
Pavarde150          Vardas150           3.4            
Pavarde1500         Vardas1500          6.8            
Pavarde1501         Vardas1501          4.4            
Pavarde1502         Vardas1502          6.8            
Pavarde1503         Vardas1503          7.8            
Pavarde1504         Vardas1504          5              
Pavarde1505         Vardas1505          6.8            
Pavarde1506         Vardas1506          2.6            
Pavarde1507         Vardas1507          3.6            
Pavarde1508         Vardas1508          6.2            
Pavarde1509         Vardas1509          7.8            
Pavarde151          Vardas151           3.2            
Pavarde1510         Vardas1510          3.2            
Pavarde1511         Vardas1511          8.4            
Pavarde1512         Vardas1512          7.4            
Pavarde1513         Vardas1513          5.8            
Pavarde1514         Vardas1514          4.6            
Pavarde1515         Vardas1515          3.6            
Pavarde1516         Vardas1516          2.4            
Pavarde1517         Vardas1517          4.4            
Pavarde1518         Vardas1518          3              
Pavarde1519         Vardas1519          5.2            
Pavarde152          Vardas152           4.4            
Pavarde1520         Vardas1520          3.2            
Pavarde1521         Vardas1521          6.4            
Pavarde1522         Vardas1522          7.8            
Pavarde1523         Vardas1523          5.2            
Pavarde1524         Vardas1524          4              
Pavarde1525         Vardas1525          7.4            
Pavarde1526         Vardas1526          3.8            
Pavarde1527         Vardas1527          7.8            
Pavarde1528         Vardas1528          5              
Pavarde1529         Vardas1529          6.4            
Pavarde153          Vardas153           6.6            
Pavarde1530         Vardas1530          7.6            
Pavarde1531         Vardas1531          6.8            
Pavarde1532         Vardas1532          3.6            
Pavarde1533         Vardas1533          7.8            
Pavarde1534         Vardas1534          4.2            
Pavarde1535         Vardas1535          7.4            
Pavarde1536         Vardas1536          2.6            
Pavarde1537         Vardas1537          5.2            
Pavarde1538         Vardas1538          7.6            
Pavarde1539         Vardas1539          3              
Pavarde154          Vardas154           3              
Pavarde1540         Vardas1540          2.6            
Pavarde1541         Vardas1541          8.2            
Pavarde1542         Vardas1542          2.6            
Pavarde1543         Vardas1543          3.8            
Pavarde1544         Vardas1544          5.2            
Pavarde1545         Vardas1545          6              
Pavarde1546         Vardas1546          5.6            
Pavarde1547         Vardas1547          8              
Pavarde1548         Vardas1548          3.8            
Pavarde1549         Vardas1549          4.2            
Pavarde155          Vardas155           2.2            
Pavarde1550         Vardas1550          3.2            
Pavarde1551         Vardas1551          6.2            
Pavarde1552         Vardas1552          4.8            
Pavarde1553         Vardas1553          3.4            
Pavarde1554         Vardas1554          7.4            
Pavarde1555         Vardas1555          6.4            
Pavarde1556         Vardas1556          7              
Pavarde1557         Vardas1557          8.4            
Pavarde1558         Vardas1558          3              
Pavarde1559         Vardas1559          5.2            
Pavarde156          Vardas156           5.6            
Pavarde1560         Vardas1560          7.2            
Pavarde1561         Vardas1561          3.4            
Pavarde1562         Vardas1562          6.4            
Pavarde1563         Vardas1563          7.2            
Pavarde1564         Vardas1564          8.4            
Pavarde1565         Vardas1565          4              
Pavarde1566         Vardas1566          5              
Pavarde1567         Vardas1567          6              
Pavarde1568         Vardas1568          8.2            
Pavarde1569         Vardas1569          4.8            
Pavarde157          Vardas157           6.6            
Pavarde1570         Vardas1570          5.6            
Pavarde1571         Vardas1571          2.6            
Pavarde1572         Vardas1572          2.6            
Pavarde1573         Vardas1573          2.6            
Pavarde1574         Vardas1574          4.8            
Pavarde1575         Vardas1575          7              
Pavarde1576         Vardas1576          2.8            
Pavarde1577         Vardas1577          8.8            
Pavarde1578         Vardas1578          4.8            
Pavarde1579         Vardas1579          7.2            
Pavarde158          Vardas158           8.4            
Pavarde1580         Vardas1580          4              
Pavarde1581         Vardas1581          3.8            
Pavarde1582         Vardas1582          5.4            
Pavarde1583         Vardas1583          6.4            
Pavarde1584         Vardas1584          4              
Pavarde1585         Vardas1585          7.2            
Pavarde1586         Vardas1586          5.6            
Pavarde1587         Vardas1587          7.6            
Pavarde1588         Vardas1588          2.2            
Pavarde1589         Vardas1589          5              
Pavarde159          Vardas159           6.2            
Pavarde1590         Vardas1590          7.6            
Pavarde1591         Vardas1591          8.2            
Pavarde1592         Vardas1592          4.2            
Pavarde1593         Vardas1593          7.2            
Pavarde1594         Vardas1594          2.2            
Pavarde1595         Vardas1595          3.8            
Pavarde1596         Vardas1596          8.2            
Pavarde1597         Vardas1597          3.2            
Pavarde1598         Vardas1598          4.2            
Pavarde1599         Vardas1599          4.4            
Pavarde16           Vardas16            6.6            
Pavarde160          Vardas160           3.2            
Pavarde1600         Vardas1600          5.2            
Pavarde1601         Vardas1601          7              
Pavarde1602         Vardas1602          7.6            
Pavarde1603         Vardas1603          7              
Pavarde1604         Vardas1604          4.2            
Pavarde1605         Vardas1605          3              
Pavarde1606         Vardas1606          2.2            
Pavarde1607         Vardas1607          2.8            
Pavarde1608         Vardas1608          5.4            
Pavarde1609         Vardas1609          4.4            
Pavarde161          Vardas161           4.8            
Pavarde1610         Vardas1610          7.2            
Pavarde1611         Vardas1611          4.8            
Pavarde1612         Vardas1612          5              
Pavarde1613         Vardas1613          5.8            
Pavarde1614         Vardas1614          4.4            
Pavarde1615         Vardas1615          8              
Pavarde1616         Vardas1616          7.8            
Pavarde1617         Vardas1617          5.4            
Pavarde1618         Vardas1618          6.6            
Pavarde1619         Vardas1619          7.6            
Pavarde162          Vardas162           4.8            
Pavarde1620         Vardas1620          6.6            
Pavarde1621         Vardas1621          2.6            
Pavarde1622         Vardas1622          7.2            
Pavarde1623         Vardas1623          6.8            
Pavarde1624         Vardas1624          3.2            
Pavarde1625         Vardas1625          6.6            
Pavarde1626         Vardas1626          5.6            
Pavarde1627         Vardas1627          8              
Pavarde1628         Vardas1628          4.4            
Pavarde1629         Vardas1629          7.8            
Pavarde163          Vardas163           8.6            
Pavarde1630         Vardas1630          3              
Pavarde1631         Vardas1631          5.8            
Pavarde1632         Vardas1632          8              
Pavarde1633         Vardas1633          8              
Pavarde1634         Vardas1634          6.6            
Pavarde1635         Vardas1635          3.6            
Pavarde1636         Vardas1636          6.2            
Pavarde1637         Vardas1637          4.6            
Pavarde1638         Vardas1638          5.8            
Pavarde1639         Vardas1639          5.8            
Pavarde164          Vardas164           7.2            
Pavarde1640         Vardas1640          5              
Pavarde1641         Vardas1641          3.2            
